672417820,reverse,0.000007,2018-7-23 12:16:23
1607390506,reverse,0.000006,2018-7-23 12:16:28
992581294,reverse,0.000004,2018-7-23 12:16:28
635983727,reverse,0.000015,2018-7-23 12:16:39
1257529286,encrypt,0.000022,2018-7-23 12:18:7
1149738834,encrypt,0.000028,2018-7-23 12:18:14
1167185598,decrypt,0.000024,2018-7-23 12:18:14
291950841,double,0.000010,2018-7-23 12:19:42
2142913407,delete,0.000010,2018-7-23 12:19:58
1118907742,encrypt,0.000027,2018-7-23 12:19:58
1533858194,reverse,0.000006,2018-7-23 12:21:45
1533858194,encrypt,0.000021,2018-7-23 12:21:45
49142148,encrypt,0.000030,2018-7-23 12:22:4
49142148,decrypt,0.000027,2018-7-23 12:22:4
1591768217,encrypt,0.000009,2018-7-23 12:22:6
546394207,decrypt,0.000334,2018-7-23 12:22:20
286397126,decrypt,0.000330,2018-7-23 12:22:35
286397126,encrypt,0.000017,2018-7-23 12:22:35
1890693950,decrypt,0.000720,2018-7-23 12:22:58
1890693950,encrypt,0.000022,2018-7-23 12:22:58
1890693950,delete,0.000008,2018-7-23 12:22:58
1890693950,double,0.000004,2018-7-23 12:22:58
2116065874,decrypt,0.000220,2018-7-23 12:23:29
1490027583,reverse,0.000008,2018-7-23 12:24:24
1840638318,reverse,0.000007,2018-7-23 12:24:37
1550455283,reverse,0.000007,2018-7-23 12:24:45
1601284139,reverse,0.000005,2018-7-23 12:25:6
1601284139,double,0.000003,2018-7-23 12:25:6
136600695,reverse,0.000007,2018-7-23 12:25:32
136600695,double,0.000005,2018-7-23 12:25:32
615247305,encrypt,0.000029,2018-7-23 12:25:41
